,Y Value,Y_Pred,Diffrence
0,1,1,0
1,2,2,0
2,2,2,0
3,0,0,0
4,2,2,0
5,1,2,-1
6,0,0,0
7,1,2,-1
8,0,0,0
9,1,1,0
10,1,1,0
11,2,2,0
12,2,2,0
13,2,2,0
14,0,0,0
15,0,0,0
16,2,2,0
17,2,2,0
18,0,0,0
19,0,0,0
20,1,1,0
21,2,2,0
22,0,0,0
23,1,1,0
24,1,1,0
25,2,2,0
26,1,1,0
27,1,1,0
28,1,1,0
29,2,2,0
30,0,0,0
31,1,1,0
32,1,1,0
33,0,0,0
34,1,1,0
35,0,0,0
36,0,0,0
37,2,2,0
38,0,0,0
39,2,2,0
40,2,2,0
41,1,1,0
42,0,0,0
43,0,0,0
44,1,1,0
45,2,2,0
46,1,1,0
47,2,2,0
48,2,2,0
49,0,0,0
50,2,2,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,1,1,0
56,1,1,0
57,1,1,0
58,1,1,0
59,2,2,0
